source name	assay name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biorepository]	characteristics[age]	characteristics[sex]	characteristics[compound]	characteristics[compound]	characteristics[exposure duration]	technology type	comment[fraction identifier]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]
PXD063467_1_Control1	1_AC16_DDA_GA1_1_3985	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	not applicable	not applicable	not applicable	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	1_AC16_DDA_GA1_1_3985.d.zip	v1.1.0	manual curation
PXD063467_2_Control2	2_AC16_DDA_GA2_1_3986	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	not applicable	not applicable	not applicable	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	2_AC16_DDA_GA2_1_3986.d.zip	v1.1.0	manual curation
PXD063467_3_Control3	3_AC16_DDA_GA3_1_3987	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	not applicable	not applicable	not applicable	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	3_AC16_DDA_GA3_1_3987.d.zip	v1.1.0	manual curation
PXD063467_4_Control4	4_AC16_DDA_GA4_1_3988	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	not applicable	not applicable	not applicable	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	4_AC16_DDA_GA4_1_3988.d.zip	v1.1.0	manual curation
PXD063467_5_Control5	5_AC16_DDA_GA5_1_3989	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	not applicable	not applicable	not applicable	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	5_AC16_DDA_GA5_1_3989.d.zip	v1.1.0	manual curation
PXD063467_6_Control6	6_AC16_DDA_GA6_1_3990	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	not applicable	not applicable	not applicable	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	6_AC16_DDA_GA6_1_3990.d.zip	v1.1.0	manual curation
PXD063467_7_Control7	7_AC16_DDA_GA7_1_3991	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	not applicable	not applicable	not applicable	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	7_AC16_DDA_GA7_1_3991.d.zip	v1.1.0	manual curation
PXD063467_8_Control8	8_AC16_DDA_GA8_1_3992	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	not applicable	not applicable	not applicable	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	8_AC16_DDA_GA8_1_3992.d.zip	v1.1.0	manual curation
PXD063467_9_Control9	9_AC16_DDA_GB1_1_3993	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	not applicable	not applicable	not applicable	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	9_AC16_DDA_GB1_1_3993.d.zip	v1.1.0	manual curation
PXD063467_10_Control10	10_AC16_DDA_GB2_1_3994	Homo sapiens	heart	normal	AC16	CVCL_4U18	AC16 [Human hybrid cardiomyocyte]	Merck 	not available	not available	not applicable	not applicable	not applicable	proteomic profiling by mass spectrometry	1	1	"NT=Data-dependent acquisition;AC=PRIDE:0000627"	not applicable	"NT=timsTOF HT;AC=MS:1003404"	"NT=Trypsin;AC=MS:1001251"	label free sample	"NT=TCEP;AC=PRIDE:0000609"	"NT=NEM;AC=PRIDE:0000606"	"NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35"	"NT=Nethylmaleimide;MT=Variable;TA=C;AC=Unimod:108"	"NT=NEM:2H(5);MT=Variable;TA=C;AC=Unimod:776"	not applicable	10_AC16_DDA_GB2_1_3994.d.zip	v1.1.0	manual curation
