source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
2017-09-01_CL05_1cell_7_1	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-09-01_CL05_1cell_7_1	1	1	2017-09-01_CL05_1cell_7_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-09-01_CL05_1cell_7_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-09-01_CL05_1cell_7_1.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-11-01_CL02_Cell14_10252017-2	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-11-01_CL02_Cell14_10252017-2	1	2	2017-11-01_CL02_Cell14_10252017-2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-11-01_CL02_Cell14_10252017-2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-11-01_CL02_Cell14_10252017-2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-08-25_CL05_64-2_8-16_2	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2016-08-25_CL05_64-2_8-16_2	1	3	2016-08-25_CL05_64-2_8-16_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-08-25_CL05_64-2_8-16_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2016-08-25_CL05_64-2_8-16_2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-09-06_CL03_1-cell_12_2	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-09-06_CL03_1-cell_12_2	1	4	2017-09-06_CL03_1-cell_12_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-09-06_CL03_1-cell_12_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-09-06_CL03_1-cell_12_2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-08-26_CL04_128-2_8-16_3	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2016-08-26_CL04_128-2_8-16_3	1	5	2016-08-26_CL04_128-2_8-16_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-08-26_CL04_128-2_8-16_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2016-08-26_CL04_128-2_8-16_3.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-08-29_CL04_128-Cells_8-16_4-2	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2016-08-29_CL04_128-Cells_8-16_4-2	1	6	2016-08-29_CL04_128-Cells_8-16_4-2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-08-29_CL04_128-Cells_8-16_4-2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2016-08-29_CL04_128-Cells_8-16_4-2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-10-16_CL04_Cel5-10112017_3	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-10-16_CL04_Cel5-10112017_3	1	7	2017-10-16_CL04_Cel5-10112017_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-10-16_CL04_Cel5-10112017_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-10-16_CL04_Cel5-10112017_3.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-08-31_CL02_1Cell_3_1	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-08-31_CL02_1Cell_3_1	1	8	2017-08-31_CL02_1Cell_3_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-08-31_CL02_1Cell_3_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-08-31_CL02_1Cell_3_1.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-09-01_CL04_1cell_6_2	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-09-01_CL04_1cell_6_2	1	9	2017-09-01_CL04_1cell_6_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-09-01_CL04_1cell_6_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-09-01_CL04_1cell_6_2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-10-27_CL03_Cell8_10252017_2	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-10-27_CL03_Cell8_10252017_2	1	10	2017-10-27_CL03_Cell8_10252017_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-10-27_CL03_Cell8_10252017_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-10-27_CL03_Cell8_10252017_2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
