source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
FL763_20180302_SimonDavis_Ex40_21	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_21	1	1	FL763_20180302_SimonDavis_Ex40_21	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_21.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_55	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_55	1	2	FL763_20180302_SimonDavis_Ex40_55	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_55.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_55.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_64	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_64	1	3	FL763_20180302_SimonDavis_Ex40_64	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_64.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_64.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_18	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_18	1	4	FL763_20180302_SimonDavis_Ex40_18	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_18.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL894_MSQ1375_20180618_ConnorScott_Purkinje_3	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL894_MSQ1375_20180618_ConnorScott_Purkinje_3	1	5	FL894_MSQ1375_20180618_ConnorScott_Purkinje_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL894_MSQ1375_20180618_ConnorScott_Purkinje_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL894_MSQ1375_20180618_ConnorScott_Purkinje_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL0476_MSQ1031_20170429_cells10	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL0476_MSQ1031_20170429_cells10	1	6	FL0476_MSQ1031_20170429_cells10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL0476_MSQ1031_20170429_cells10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL0476_MSQ1031_20170429_cells10.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_67	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_67	1	7	FL763_20180302_SimonDavis_Ex40_67	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_67.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_67.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_66	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_66	1	8	FL763_20180302_SimonDavis_Ex40_66	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_66.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_66.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_63	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_63	1	9	FL763_20180302_SimonDavis_Ex40_63	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_63.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_63.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_22	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_22	1	10	FL763_20180302_SimonDavis_Ex40_22	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_22.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
