source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_1	Homo sapiens	Brain	not available	not available	not available	not available	not available	not available	not available	HeLa	tissue	empty	laser capture microdissection	empty	0	1	FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	5% NCE	20 ppm	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	Zeiss PALM MicroBeam	nanoPOTS chip[2] (Figure S2) and then prepared f	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_3	Homo sapiens	Brain	not available	not available	not available	not available	not available	not available	not available	HeLa	tissue	single cell	laser capture microdissection	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_3	1	2	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	5% NCE	20 ppm	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	Zeiss PALM MicroBeam	nanoPOTS chip[2] (Figure S2) and then prepared f	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_2	Homo sapiens	Brain	not available	not available	not available	not available	not available	not available	not available	HeLa	tissue	single cell	laser capture microdissection	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_2	1	3	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_SingleInterNeuron_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	5% NCE	20 ppm	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	Zeiss PALM MicroBeam	nanoPOTS chip[2] (Figure S2) and then prepared f	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_2	Homo sapiens	Brain	not available	not available	not available	not available	not available	not available	not available	HeLa	tissue	empty	laser capture microdissection	empty	0	4	FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	5% NCE	20 ppm	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	Zeiss PALM MicroBeam	nanoPOTS chip[2] (Figure S2) and then prepared f	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_1	Homo sapiens	Brain	not available	not available	not available	not available	not available	not available	not available	HeLa	tissue	single cell	laser capture microdissection	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_1	1	5	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	5% NCE	20 ppm	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	Zeiss PALM MicroBeam	nanoPOTS chip[2] (Figure S2) and then prepared f	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_3	Homo sapiens	Brain	not available	not available	not available	not available	not available	not available	not available	HeLa	tissue	single cell	laser capture microdissection	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_3	1	6	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_SingleMotorNeuron_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	5% NCE	20 ppm	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	Zeiss PALM MicroBeam	nanoPOTS chip[2] (Figure S2) and then prepared f	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_1	Homo sapiens	Brain	not available	not available	not available	not available	not available	not available	not available	HeLa	tissue	single cell	laser capture microdissection	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_1	1	7	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	5% NCE	20 ppm	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	Zeiss PALM MicroBeam	nanoPOTS chip[2] (Figure S2) and then prepared f	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_3	Homo sapiens	Brain	not available	not available	not available	not available	not available	not available	not available	HeLa	tissue	empty	laser capture microdissection	empty	0	8	FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_Blank_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	5% NCE	20 ppm	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	Zeiss PALM MicroBeam	nanoPOTS chip[2] (Figure S2) and then prepared f	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_2	Homo sapiens	Brain	not available	not available	not available	not available	not available	not available	not available	HeLa	tissue	single cell	laser capture microdissection	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_2	1	9	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	5% NCE	20 ppm	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	Zeiss PALM MicroBeam	nanoPOTS chip[2] (Figure S2) and then prepared f	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_3	Homo sapiens	Brain	not available	not available	not available	not available	not available	not available	not available	HeLa	tissue	single cell	laser capture microdissection	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_3	1	10	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019515/FAIMS_2CV_OTIT_HCD_300ITMS2_Single_HeLa_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	5% NCE	20 ppm	20 ppm	not applicable	not applicable	nanowells of the nanoPOTS chip	Zeiss PALM MicroBeam	nanoPOTS chip[2] (Figure S2) and then prepared f	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
