source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20201120_L1_nUT2_ES802A_25cm_SCP_CPT_24h_Rxn2	Homo sapiens	Epithelial cell	Lung adenocarcinoma	not available	not available	not available	not available	not available	Epithelial cell	A549	cell	single cell	FACS	20201120_L1_nUT2_ES802A_25cm_SCP_CPT_24h_Rxn2	1	1	20201120_L1_nUT2_ES802A_25cm_SCP_CPT_24h_Rxn2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20201120_L1_nUT2_ES802A_25cm_SCP_CPT_24h_Rxn2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD025481/20201120_L1_nUT2_ES802A_25cm_SCP_CPT_24h_Rxn2.raw	1	TMTpro126	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	549% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200221_L1_nUT2_ES802A_SCP_A549_MTX_splitCP_Rnx5	Homo sapiens	Epithelial cell	Lung adenocarcinoma	not available	not available	not available	not available	not available	Epithelial cell	A549	cell	single cell	FACS	20200221_L1_nUT2_ES802A_SCP_A549_MTX_splitCP_Rnx5	1	2	20200221_L1_nUT2_ES802A_SCP_A549_MTX_splitCP_Rnx5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200221_L1_nUT2_ES802A_SCP_A549_MTX_splitCP_Rnx5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD025481/20200221_L1_nUT2_ES802A_SCP_A549_MTX_splitCP_Rnx5.raw	1	TMTpro127N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	549% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20201022_L1_nUT2_ES802A_25cm_SCP_CPT_48h_Rxn13	Homo sapiens	Epithelial cell	Lung adenocarcinoma	not available	not available	not available	not available	not available	Epithelial cell	A549	cell	single cell	FACS	20201022_L1_nUT2_ES802A_25cm_SCP_CPT_48h_Rxn13	1	3	20201022_L1_nUT2_ES802A_25cm_SCP_CPT_48h_Rxn13	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20201022_L1_nUT2_ES802A_25cm_SCP_CPT_48h_Rxn13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD025481/20201022_L1_nUT2_ES802A_25cm_SCP_CPT_48h_Rxn13.raw	1	TMTpro127C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	549% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn11	Homo sapiens	Epithelial cell	Lung adenocarcinoma	not available	not available	not available	not available	not available	Epithelial cell	A549	cell	single cell	FACS	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn11	1	4	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn11	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD025481/20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn11.raw	1	TMTpro128N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	549% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210216_L1_nUT2_SCP_MTX_3h_Rxn7	Homo sapiens	Epithelial cell	Lung adenocarcinoma	not available	not available	not available	not available	not available	Epithelial cell	A549	cell	single cell	FACS	20210216_L1_nUT2_SCP_MTX_3h_Rxn7	1	5	20210216_L1_nUT2_SCP_MTX_3h_Rxn7	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210216_L1_nUT2_SCP_MTX_3h_Rxn7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD025481/20210216_L1_nUT2_SCP_MTX_3h_Rxn7.raw	1	TMTpro128C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	549% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210122_L1_nUT2_SCP_TMTpro_SemiBulk_CPT_R2	Homo sapiens	Epithelial cell	Lung adenocarcinoma	not available	not available	not available	not available	not available	Epithelial cell	A549	cell	bulk control	FACS	20210122_L1_nUT2_SCP_TMTpro_SemiBulk_CPT_R2	not applicable	6	20210122_L1_nUT2_SCP_TMTpro_SemiBulk_CPT_R2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210122_L1_nUT2_SCP_TMTpro_SemiBulk_CPT_R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD025481/20210122_L1_nUT2_SCP_TMTpro_SemiBulk_CPT_R2.raw	1	TMTpro129N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	549% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210122_L1_nUT2_SCP_TMTpro_SemiBulk_MTX_R2	Homo sapiens	Epithelial cell	Lung adenocarcinoma	not available	not available	not available	not available	not available	Epithelial cell	A549	cell	bulk control	FACS	20210122_L1_nUT2_SCP_TMTpro_SemiBulk_MTX_R2	not applicable	7	20210122_L1_nUT2_SCP_TMTpro_SemiBulk_MTX_R2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210122_L1_nUT2_SCP_TMTpro_SemiBulk_MTX_R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD025481/20210122_L1_nUT2_SCP_TMTpro_SemiBulk_MTX_R2.raw	1	TMTpro129C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	549% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn6	Homo sapiens	Epithelial cell	Lung adenocarcinoma	not available	not available	not available	not available	not available	Epithelial cell	A549	cell	single cell	FACS	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn6	1	8	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn6	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD025481/20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn6.raw	1	TMTpro130N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	549% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210216_L1_nUT2_SCP_MTX_6h_Rxn17	Homo sapiens	Epithelial cell	Lung adenocarcinoma	not available	not available	not available	not available	not available	Epithelial cell	A549	cell	single cell	FACS	20210216_L1_nUT2_SCP_MTX_6h_Rxn17	1	9	20210216_L1_nUT2_SCP_MTX_6h_Rxn17	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210216_L1_nUT2_SCP_MTX_6h_Rxn17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD025481/20210216_L1_nUT2_SCP_MTX_6h_Rxn17.raw	1	TMTpro130C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	549% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn11	Homo sapiens	Epithelial cell	Lung adenocarcinoma	not available	not available	not available	not available	not available	Epithelial cell	A549	cell	single cell	FACS	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn11	1	10	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn11	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD025481/20200910_L1_nUT2_ES802A_25cm_SCP_MTX_12h_Rxn11.raw	1	TMTpro131N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	549% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
