source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
2020MK002_EVBO_005_03_Dil1_10_DIA_40x10_TURBO	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_005_03_Dil1_10_DIA_40x10_TURBO	1	1	2020MK002_EVBO_005_03_Dil1_10_DIA_40x10_TURBO	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_005_03_Dil1_10_DIA_40x10_TURBO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_005_03_Dil1_10_DIA_40x10_TURBO.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_024_03_100X4_NORMAL_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_024_03_100X4_NORMAL_1ng	1	2	2020MK003_EVBO_024_03_100X4_NORMAL_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_024_03_100X4_NORMAL_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_024_03_100X4_NORMAL_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_027_01_100X4_NORMAL_1ug	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_027_01_100X4_NORMAL_1ug	1	3	2020MK003_EVBO_027_01_100X4_NORMAL_1ug	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_027_01_100X4_NORMAL_1ug.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_027_01_100X4_NORMAL_1ug.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_003_02_40X10_RAPID_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_003_02_40X10_RAPID_1ng	1	4	2020MK003_EVBO_003_02_40X10_RAPID_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_003_02_40X10_RAPID_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_003_02_40X10_RAPID_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_007_02_Dil1_100_DIA_40x10_NORMAL	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_007_02_Dil1_100_DIA_40x10_NORMAL	1	5	2020MK002_EVBO_007_02_Dil1_100_DIA_40x10_NORMAL	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_007_02_Dil1_100_DIA_40x10_NORMAL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_007_02_Dil1_100_DIA_40x10_NORMAL.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_005_04_1ug_DIA_40x10_TURBO	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_005_04_1ug_DIA_40x10_TURBO	1	6	2020MK002_EVBO_005_04_1ug_DIA_40x10_TURBO	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_005_04_1ug_DIA_40x10_TURBO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_005_04_1ug_DIA_40x10_TURBO.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_014_01_40X10_RAPID_10ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_014_01_40X10_RAPID_10ng	1	7	2020MK003_EVBO_014_01_40X10_RAPID_10ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_014_01_40X10_RAPID_10ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_014_01_40X10_RAPID_10ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_006_03_Dil1_10_DIA_40x10_RAPID	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_006_03_Dil1_10_DIA_40x10_RAPID	1	8	2020MK002_EVBO_006_03_Dil1_10_DIA_40x10_RAPID	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_006_03_Dil1_10_DIA_40x10_RAPID.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_006_03_Dil1_10_DIA_40x10_RAPID.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_001_04_1ug_DIA_40x10_30K	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_001_04_1ug_DIA_40x10_30K	1	9	2020MK002_EVBO_001_04_1ug_DIA_40x10_30K	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_001_04_1ug_DIA_40x10_30K.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_001_04_1ug_DIA_40x10_30K.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_019_01_100X4_RAPID_100ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_019_01_100X4_RAPID_100ng	1	10	2020MK003_EVBO_019_01_100X4_RAPID_100ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_019_01_100X4_RAPID_100ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_019_01_100X4_RAPID_100ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
