source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
ID39352_02_06069L_5064_072518_1	Arabidopsis thaliana	Root	not available	Plant cell	tissue	single cell	FACS	ID39352_02_06069L_5064_072518_1	1	1	ID39352_02_06069L_5064_072518_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	ID39352_02_06069L_5064_072518_1.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/01/PXD028991/ID39352_02_06069L_5064_072518_1.mgf	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	9% NCE	0.02 Da	0.02 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
ID39546_01_06069L_5064_080818	Arabidopsis thaliana	Root	not available	Plant cell	tissue	single cell	FACS	ID39546_01_06069L_5064_080818	1	2	ID39546_01_06069L_5064_080818	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	ID39546_01_06069L_5064_080818.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/01/PXD028991/ID39546_01_06069L_5064_080818.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	9% NCE	0.02 Da	0.02 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
ID39549_01_06069L_5064_080818	Arabidopsis thaliana	Root	not available	Plant cell	tissue	single cell	FACS	ID39549_01_06069L_5064_080818	1	3	ID39549_01_06069L_5064_080818	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	ID39549_01_06069L_5064_080818.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/01/PXD028991/ID39549_01_06069L_5064_080818.mgf	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	9% NCE	0.02 Da	0.02 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
ID39550_01_06069L_5064_080818	Arabidopsis thaliana	Root	not available	Plant cell	tissue	single cell	FACS	ID39550_01_06069L_5064_080818	1	4	ID39550_01_06069L_5064_080818	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	ID39550_01_06069L_5064_080818.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/01/PXD028991/ID39550_01_06069L_5064_080818.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	9% NCE	0.02 Da	0.02 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
ID39552_01_06069L_5064_080818	Arabidopsis thaliana	Root	not available	Plant cell	tissue	single cell	FACS	ID39552_01_06069L_5064_080818	1	5	ID39552_01_06069L_5064_080818	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	ID39552_01_06069L_5064_080818.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/01/PXD028991/ID39552_01_06069L_5064_080818.mgf	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	9% NCE	0.02 Da	0.02 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
ID39550_01_06069L_5064_080818_2	Arabidopsis thaliana	Root	not available	Plant cell	tissue	single cell	FACS	ID39550_01_06069L_5064_080818_2	1	6	ID39550_01_06069L_5064_080818_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	ID39550_01_06069L_5064_080818.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/01/PXD028991/ID39550_01_06069L_5064_080818.mgf	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	9% NCE	0.02 Da	0.02 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
ID39546_01_06069L_5064_080818_2	Arabidopsis thaliana	Root	not available	Plant cell	tissue	single cell	FACS	ID39546_01_06069L_5064_080818_2	1	7	ID39546_01_06069L_5064_080818_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	ID39546_01_06069L_5064_080818.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/01/PXD028991/ID39546_01_06069L_5064_080818.mgf	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	9% NCE	0.02 Da	0.02 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
ID39548_01_06069L_5064_080818	Arabidopsis thaliana	Root	not available	Plant cell	tissue	single cell	FACS	ID39548_01_06069L_5064_080818	1	8	ID39548_01_06069L_5064_080818	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	ID39548_01_06069L_5064_080818.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/01/PXD028991/ID39548_01_06069L_5064_080818.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	9% NCE	0.02 Da	0.02 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
ID39553_01_06069L_5064_080818	Arabidopsis thaliana	Root	not available	Plant cell	tissue	single cell	FACS	ID39553_01_06069L_5064_080818	1	9	ID39553_01_06069L_5064_080818	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	ID39553_01_06069L_5064_080818.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/01/PXD028991/ID39553_01_06069L_5064_080818.mgf	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	9% NCE	0.02 Da	0.02 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
ID39552_01_06069L_5064_080818_2	Arabidopsis thaliana	Root	not available	Plant cell	tissue	single cell	FACS	ID39552_01_06069L_5064_080818_2	1	10	ID39552_01_06069L_5064_080818_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	ID39552_01_06069L_5064_080818.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/01/PXD028991/ID39552_01_06069L_5064_080818.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	9% NCE	0.02 Da	0.02 Da	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
