source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_untagged2	Mus musculus	Embryonic stem cell	not available	embryonic stage	not available	not available	Embryonic stem cell	cell	single cell	not applicable	20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_untagged2	1	1	20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_untagged2	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_untagged2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD037985/20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_untagged2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	30% NCE	not available	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged3	Mus musculus	Embryonic stem cell	not available	embryonic stage	not available	not available	Embryonic stem cell	cell	single cell	not applicable	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged3	1	2	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD037985/20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	30% NCE	not available	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_smarca5-Flag3	Mus musculus	Embryonic stem cell	not available	embryonic stage	not available	not available	Embryonic stem cell	cell	single cell	not applicable	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_smarca5-Flag3	1	3	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_smarca5-Flag3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_smarca5-Flag3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD037985/20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_smarca5-Flag3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	30% NCE	not available	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged1	Mus musculus	Embryonic stem cell	not available	embryonic stage	not available	not available	Embryonic stem cell	cell	single cell	not applicable	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged1	1	4	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged1	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD037985/20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_untagged1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	30% NCE	not available	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_smarca5-Flag3	Mus musculus	Embryonic stem cell	not available	embryonic stage	not available	not available	Embryonic stem cell	cell	single cell	not applicable	20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_smarca5-Flag3	1	5	20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_smarca5-Flag3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_smarca5-Flag3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD037985/20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_smarca5-Flag3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	30% NCE	not available	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep2	Mus musculus	Embryonic stem cell	not available	embryonic stage	not available	not available	Embryonic stem cell	cell	single cell	not applicable	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep2	1	6	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep2	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD037985/20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	30% NCE	not available	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_untagged1	Mus musculus	Embryonic stem cell	not available	embryonic stage	not available	not available	Embryonic stem cell	cell	single cell	not applicable	20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_untagged1	1	7	20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_untagged1	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_untagged1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD037985/20220507_E4_RSLCbeta_Schmuecker_Berger_GMI_ID520_G2_10per_iso4_untagged1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	30% NCE	not available	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_control_Untagged_rep1	Mus musculus	Embryonic stem cell	not available	embryonic stage	not available	not available	Embryonic stem cell	cell	single cell	not applicable	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_control_Untagged_rep1	1	8	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_control_Untagged_rep1	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_control_Untagged_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD037985/20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_control_Untagged_rep1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	30% NCE	not available	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep1	Mus musculus	Embryonic stem cell	not available	embryonic stage	not available	not available	Embryonic stem cell	cell	single cell	not applicable	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep1	1	9	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep1	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD037985/20211105_E2_RSLC2_Schmuecker_Berger_GMI_ID520_onbead_dig_10per_sample_Smarca5_Flag_rep1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	30% NCE	not available	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_smarca5-Flag2	Mus musculus	Embryonic stem cell	not available	embryonic stage	not available	not available	Embryonic stem cell	cell	single cell	not applicable	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_smarca5-Flag2	1	10	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_smarca5-Flag2	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_smarca5-Flag2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD037985/20211105_E4_LC5_Schmuecker_Berger_GMI_ID520_G2_10per_smarca5-Flag2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	30% NCE	not available	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
