source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___10	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___10	1	1	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___10_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___10_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep16	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep16	1	2	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep16	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep16.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep28	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep28	1	3	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep28	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep28.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___11	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___11	1	4	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___11	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___11_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___11_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep04	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep04	1	5	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep04	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep04.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep25	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep25	1	6	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep25	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep25.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___29	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___29	1	7	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___29	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___29_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___29_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep27	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep27	1	8	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep27	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep27.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep29	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep29	1	9	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep29	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep29.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep20	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep20	1	10	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep20	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep20.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
