source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Chip4_A549HFL1_F20	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip4_A549HFL1_F20	1	1	Chip4_A549HFL1_F20	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip4_A549HFL1_F20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip4_A549HFL1_F20.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip4_A549HFL1_F1	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip4_A549HFL1_F1	1	2	Chip4_A549HFL1_F1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip4_A549HFL1_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip4_A549HFL1_F1.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
10ng_HeLa_H_Iso16_30CountFromKit	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	10ng_HeLa_H_Iso16_30CountFromKit	1	3	10ng_HeLa_H_Iso16_30CountFromKit	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	10ng_HeLa_H_Iso16_30CountFromKit.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/10ng_HeLa_H_Iso16_30CountFromKit.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip2_K562HeLa_F26_XsNnyrv	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip2_K562HeLa_F26_XsNnyrv	1	4	Chip2_K562HeLa_F26_XsNnyrv	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip2_K562HeLa_F26_XsNnyrv.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip2_K562HeLa_F26_XsNnyrv.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip1_K562HeLa_F2	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip1_K562HeLa_F2	1	5	Chip1_K562HeLa_F2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip1_K562HeLa_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip1_K562HeLa_F2.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip1_K562HeLa_F4	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip1_K562HeLa_F4	1	6	Chip1_K562HeLa_F4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip1_K562HeLa_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip1_K562HeLa_F4.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip2_K562HeLa_F10	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip2_K562HeLa_F10	1	7	Chip2_K562HeLa_F10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip2_K562HeLa_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip2_K562HeLa_F10.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip2_K562HeLa_F19	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip2_K562HeLa_F19	1	8	Chip2_K562HeLa_F19	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip2_K562HeLa_F19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip2_K562HeLa_F19.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip2_K562HeLa_F24	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip2_K562HeLa_F24	1	9	Chip2_K562HeLa_F24	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip2_K562HeLa_F24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip2_K562HeLa_F24.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Chip2_K562HeLa_F14	Homo sapiens	Epithelial cell	not available	Epithelial cell	HeLa; K562; A549	cell	single cell	FACS	Chip2_K562HeLa_F14	1	10	Chip2_K562HeLa_F14	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Chip2_K562HeLa_F14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD040455/Chip2_K562HeLa_F14.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	0.5% NCE	10 ppm	0.6 Da	not applicable	not applicable	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
