source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Substrate_comp_nanoPOTSChip_Rapid_Method_3b	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	Substrate_comp_nanoPOTSChip_Rapid_Method_3b	1	1	Substrate_comp_nanoPOTSChip_Rapid_Method_3b	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Substrate_comp_nanoPOTSChip_Rapid_Method_3b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Substrate_comp_nanoPOTSChip_Rapid_Method_3b.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2DDM_only_1stepmix_2B7_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	2DDM_only_1stepmix_2B7_channel2	1	2	2DDM_only_1stepmix_2B7_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2DDM_only_1stepmix_2B7_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/2DDM_only_1stepmix_2B7_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Substrate_comp_Rapid_Method_Polypropylenechip_2d	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	Substrate_comp_Rapid_Method_Polypropylenechip_2d	1	3	Substrate_comp_Rapid_Method_Polypropylenechip_2d	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Substrate_comp_Rapid_Method_Polypropylenechip_2d.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Substrate_comp_Rapid_Method_Polypropylenechip_2d.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Substrate_comp_nanoPOTSChip_Rapid_Method_2c	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	Substrate_comp_nanoPOTSChip_Rapid_Method_2c	1	4	Substrate_comp_nanoPOTSChip_Rapid_Method_2c	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Substrate_comp_nanoPOTSChip_Rapid_Method_2c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Substrate_comp_nanoPOTSChip_Rapid_Method_2c.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
DDMandDTT_1stepmix_2A10_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	DDMandDTT_1stepmix_2A10_channel2	1	5	DDMandDTT_1stepmix_2A10_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	DDMandDTT_1stepmix_2A10_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/DDMandDTT_1stepmix_2A10_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Substrate_comp_nanoPOTSChip_Rapid_Method_4c	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	Substrate_comp_nanoPOTSChip_Rapid_Method_4c	1	6	Substrate_comp_nanoPOTSChip_Rapid_Method_4c	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Substrate_comp_nanoPOTSChip_Rapid_Method_4c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Substrate_comp_nanoPOTSChip_Rapid_Method_4c.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Substrate_comp_Rapid_Method_Polypropylenechip_1d	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	Substrate_comp_Rapid_Method_Polypropylenechip_1d	1	7	Substrate_comp_Rapid_Method_Polypropylenechip_1d	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Substrate_comp_Rapid_Method_Polypropylenechip_1d.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Substrate_comp_Rapid_Method_Polypropylenechip_1d.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Substrate_comp_Rapid_Method_Polypropylenechip_1b	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	Substrate_comp_Rapid_Method_Polypropylenechip_1b	1	8	Substrate_comp_Rapid_Method_Polypropylenechip_1b	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Substrate_comp_Rapid_Method_Polypropylenechip_1b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Substrate_comp_Rapid_Method_Polypropylenechip_1b.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
DDM_only_1stepmix_2C6_blank_channel1	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	empty	cellenONE	empty	0	9	DDM_only_1stepmix_2C6_blank_channel1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	DDM_only_1stepmix_2C6_blank_channel1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/DDM_only_1stepmix_2C6_blank_channel1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
3_DDMDTT_3B10_channel1	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	3_DDMDTT_3B10_channel1	1	10	3_DDMDTT_3B10_channel1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	3_DDMDTT_3B10_channel1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/3_DDMDTT_3B10_channel1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
