source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
200nL_CH1_H8	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	200nL_CH1_H8	1	1	200nL_CH1_H8	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	200nL_CH1_H8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/200nL_CH1_H8.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
QC_50ng_WWA_CH1_BA23_second	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	bulk control	FACS	QC_50ng_WWA_CH1_BA23_second	not applicable	2	QC_50ng_WWA_CH1_BA23_second	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QC_50ng_WWA_CH1_BA23_second.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/QC_50ng_WWA_CH1_BA23_second.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_C17	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_C17	1	3	50umx15cm_SPE50_100nL_8mz_C17	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_C17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_C17.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH1_C2	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH1_C2	1	4	Jurkat_500nL_1ng_CH1_C2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH1_C2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH1_C2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH1_K3	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH1_K3	1	5	Jurkat_500nL_1ng_CH1_K3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH1_K3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH1_K3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
HeLa_500nL_1ng_CH1_G10	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	HeLa_500nL_1ng_CH1_G10	1	6	HeLa_500nL_1ng_CH1_G10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_500nL_1ng_CH1_G10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/HeLa_500nL_1ng_CH1_G10.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH2_BLANK_N6	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	empty	FACS	empty	0	7	Jurkat_500nL_1ng_CH2_BLANK_N6	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH2_BLANK_N6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH2_BLANK_N6.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL1ng_CH1_D21	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL1ng_CH1_D21	1	8	500nL1ng_CH1_D21	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL1ng_CH1_D21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL1ng_CH1_D21.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
HeLa_500nL_1ng_CH2_G8	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	HeLa_500nL_1ng_CH2_G8	1	9	HeLa_500nL_1ng_CH2_G8	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_500nL_1ng_CH2_G8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/HeLa_500nL_1ng_CH2_G8.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_E22	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_E22	1	10	50umx15cm_SPE50_100nL_8mz_E22	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_E22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_E22.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
