source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
qExHF01_07920_BMDC_Fraction_2	Mus musculus	T cell	not available	not available	not available	not available	T cell	cell	single cell	not applicable	qExHF01_07920_BMDC_Fraction_2	1	1	qExHF01_07920_BMDC_Fraction_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	qExHF01_07920_BMDC_Fraction_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD059683/qExHF01_07920_BMDC_Fraction_2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=CID;AC=MS:1000133	100% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
qExHF01_08190_BCells_Fraction_8	Mus musculus	T cell	not available	not available	not available	not available	T cell	cell	single cell	not applicable	qExHF01_08190_BCells_Fraction_8	1	2	qExHF01_08190_BCells_Fraction_8	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	qExHF01_08190_BCells_Fraction_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD059683/qExHF01_08190_BCells_Fraction_8.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=CID;AC=MS:1000133	100% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
qExHF01_08069_CD4_Fraction_5	Mus musculus	T cell	not available	not available	not available	not available	T cell	cell	single cell	not applicable	qExHF01_08069_CD4_Fraction_5	1	3	qExHF01_08069_CD4_Fraction_5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	qExHF01_08069_CD4_Fraction_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD059683/qExHF01_08069_CD4_Fraction_5.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=CID;AC=MS:1000133	100% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
qExHF01_08191_BCells_Fraction_9	Mus musculus	T cell	not available	not available	not available	not available	T cell	cell	single cell	not applicable	qExHF01_08191_BCells_Fraction_9	1	4	qExHF01_08191_BCells_Fraction_9	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	qExHF01_08191_BCells_Fraction_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD059683/qExHF01_08191_BCells_Fraction_9.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=CID;AC=MS:1000133	100% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
qExHF01_07938_BMDM_Fraction_7	Mus musculus	T cell	not available	not available	not available	not available	T cell	cell	single cell	not applicable	qExHF01_07938_BMDM_Fraction_7	1	5	qExHF01_07938_BMDM_Fraction_7	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	qExHF01_07938_BMDM_Fraction_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD059683/qExHF01_07938_BMDM_Fraction_7.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=CID;AC=MS:1000133	100% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
qExHF01_08192_BCells_Fraction_10	Mus musculus	T cell	not available	not available	not available	not available	T cell	cell	single cell	not applicable	qExHF01_08192_BCells_Fraction_10	1	6	qExHF01_08192_BCells_Fraction_10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	qExHF01_08192_BCells_Fraction_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD059683/qExHF01_08192_BCells_Fraction_10.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=CID;AC=MS:1000133	100% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
qExHF01_07919_BMDC_Fraction_1	Mus musculus	T cell	not available	not available	not available	not available	T cell	cell	single cell	not applicable	qExHF01_07919_BMDC_Fraction_1	1	7	qExHF01_07919_BMDC_Fraction_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	qExHF01_07919_BMDC_Fraction_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD059683/qExHF01_07919_BMDC_Fraction_1.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=CID;AC=MS:1000133	100% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
qExHF01_08053_CD8_Fraction_2	Mus musculus	T cell	not available	not available	not available	not available	T cell	cell	single cell	not applicable	qExHF01_08053_CD8_Fraction_2	1	8	qExHF01_08053_CD8_Fraction_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	qExHF01_08053_CD8_Fraction_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD059683/qExHF01_08053_CD8_Fraction_2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=CID;AC=MS:1000133	100% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
qExHF01_07940_BMDM_Fraction_9	Mus musculus	T cell	not available	not available	not available	not available	T cell	cell	single cell	not applicable	qExHF01_07940_BMDM_Fraction_9	1	9	qExHF01_07940_BMDM_Fraction_9	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	qExHF01_07940_BMDM_Fraction_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD059683/qExHF01_07940_BMDM_Fraction_9.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=CID;AC=MS:1000133	100% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
qExHF01_07923_BMDC_Fraction_5	Mus musculus	T cell	not available	not available	not available	not available	T cell	cell	single cell	not applicable	qExHF01_07923_BMDC_Fraction_5	1	10	qExHF01_07923_BMDC_Fraction_5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	qExHF01_07923_BMDC_Fraction_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD059683/qExHF01_07923_BMDC_Fraction_5.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=CID;AC=MS:1000133	100% NCE	10 ppm	10 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
