accession	action	sdrf_path	title	evidence_terms	pride_queries	organisms	organism_parts	diseases	instruments	experiment_types	quantification_methods	file_count	draft_row_count	pride_pubmed_ids	pride_dois	europepmc_hit_count	europepmc_first_pmid	europepmc_first_doi	europepmc_first_title	pride_url
PXD000902	sandbox_draft	sandbox/PXD000902/PXD000902.sdrf.tsv	Global absolute quantification reveals tight regulation of protein expression in single Xenopus eggs	single-cell proteomics;single-cell proteome;single oocyte/egg proteomics	single Xenopus eggs;single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Xenopus laevis (african clawed frog)	Embryo; Egg		LTQ Orbitrap Velos; Q Exactive	Shotgun proteomics	Copies per cell; MS1 intensity based label-free quantification method	68	64	25056316		1	25056316	10.1093/nar/gku661	Global absolute quantification reveals tight regulation of protein expression in single Xenopus eggs.	https://www.ebi.ac.uk/pride/archive/projects/PXD000902
PXD003121	sandbox_draft	sandbox/PXD003121/PXD003121.sdrf.tsv	Human oocytes -  Identification of Maturation-Specific Proteins by Single-Cell Proteomics of Human Oocytes	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Oocyte; Oocyte		LTQ Orbitrap Velos	Shotgun proteomics		26	21	27215607	10.1074/mcp.M115.056887	0				https://www.ebi.ac.uk/pride/archive/projects/PXD003121
PXD006905	sandbox_draft	sandbox/PXD006905/PXD006905.sdrf.tsv	Single-cell Proteomics of Developing Cells in Live Vertebrate Embryos by Microprobe High-Resolution Mass Spectrometry	single-cell proteomics	single cell proteomics;single-cell proteomic;single-cell proteomics	Danio rerio (zebrafish) (brachydanio rerio); Xenopus laevis (african clawed frog)	Embryo; Stem cell		Q Exactive Plus	Shotgun proteomics	Label free	96	94	30827088	10.1021/acs.analchem.9b00345	1	30827088	10.1021/acs.analchem.9b00345	Microsampling Capillary Electrophoresis Mass Spectrometry Enables Single-Cell Proteomics in Complex Tissues: Developing Cell Clones in Live Xenopus laevis and Zebrafish Embryos.	https://www.ebi.ac.uk/pride/archive/projects/PXD006905
PXD012101	sandbox_draft	sandbox/PXD012101/PXD012101.sdrf.tsv	Development of a sensitive, scalable method for spatial, cell-type-resolved proteomics of the human brain	single-cell proteome	single cell proteome;single-cell proteome	Homo sapiens (human)	Brain		Orbitrap Fusion Lumos	Shotgun proteomics	MS1 intensity based label-free quantification method	77	76	30768908	10.1021/acs.jproteome.8b00981	1	30768908	10.1021/acs.jproteome.8b00981	Development of a Sensitive, Scalable Method for Spatial, Cell-Type-Resolved Proteomics of the Human Brain.	https://www.ebi.ac.uk/pride/archive/projects/PXD012101
PXD014256	sandbox_draft	sandbox/PXD014256/PXD014256.sdrf.tsv	Embryonic day 15 chick utricle single cell analysis	single-cell proteomics;nanoPOTS	single cell proteomics;single-cell proteomic;single-cell proteomics	Gallus gallus (chicken)	Ear hair cell; Inner ear; Vestibular hair cell; Inner ear vestibulum		LTQ Orbitrap Elite	Shotgun proteomics		63	61	31682227	10.7554/eLife.50777	2	34373457	10.1038/s41467-021-25077-6	IceR improves proteome coverage and data completeness in global and single-cell proteomics.	https://www.ebi.ac.uk/pride/archive/projects/PXD014256
PXD015058	sandbox_draft	sandbox/PXD015058/PXD015058.sdrf.tsv	Reality of Near-Single-Cell Proteomic Interrogation of the Human Kidney	single-cell proteomics;near-single-cell proteomics	near-single-cell proteomics;single cell proteomics;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Kidney		Q Exactive	Shotgun proteomics		120	48	33072769	10.3389/fmed.2020.00499	1	33072769	10.3389/fmed.2020.00499	Near-Single-Cell Proteomics Profiling of the Proximal Tubular and Glomerulus of the Normal Human Kidney.	https://www.ebi.ac.uk/pride/archive/projects/PXD015058
PXD016573	sandbox_draft	sandbox/PXD016573/PXD016573.sdrf.tsv	Single Cell Proteomics and the Carrier Proteome Effect	single-cell proteomics;single-cell proteome;SCoPE-MS;carrier proteome SCP	SCoPE-MS;single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Cell culture		Orbitrap Fusion Lumos	Shotgun proteomics	TMT	141	138	33288958	10.1038/s41592-020-01002-5	0				https://www.ebi.ac.uk/pride/archive/projects/PXD016573
PXD016921	sandbox_draft	sandbox/PXD016921/PXD016921.sdrf.tsv	Improved Single Cell Proteome Coverage Using Narrow-Bore Packed NanoLC Columns and Ultrasensitive Mass Spectrometry	single-cell proteome;nanoPOTS	single cell proteome;single-cell proteome	Homo sapiens (human)	Cell culture	Cervix carcinoma	Orbitrap Eclipse	Shotgun proteomics		9	7	31913019	10.1021/acs.analchem.9b04631	2	38965444	10.1038/s41592-024-02343-1	quantms: a cloud-based pipeline for quantitative proteomics enables the reanalysis of public proteomics data.	https://www.ebi.ac.uk/pride/archive/projects/PXD016921
PXD019515	sandbox_draft	sandbox/PXD019515/PXD019515.sdrf.tsv	FAIMS single cellUltrasensitive single-cell proteomics workflow identifies >1000 protein groups per mammalian cell	single-cell proteomics;single-cell proteome;nanoPOTS	single cell proteome;single cell proteomics;single-cell proteome;single-cell proteomic;single-cell proteomics	Homo sapiens (human)	Brain; Hela cell		Orbitrap Eclipse	Shotgun proteomics		14	12			1	34163866	10.1039/d0sc03636f	Ultrasensitive single-cell proteomics workflow identifies >1000 protein groups per mammalian cell.	https://www.ebi.ac.uk/pride/archive/projects/PXD019515
PXD019958	sandbox_draft	sandbox/PXD019958/PXD019958.sdrf.tsv	Digital Microfluidic Isolation of Single Cells for -Omics	single-cell proteomics	single-cell proteomic	Homo sapiens (human)	Cell culture		Q Exactive HF-X	Shotgun proteomics		18	9	33177493	10.1038/s41467-020-19394-5	2	33177493	10.1038/s41467-020-19394-5	Digital microfluidic isolation of single cells for -Omics.	https://www.ebi.ac.uk/pride/archive/projects/PXD019958
